Files,Folder,LoC,Theorems,Implementations,Documentation
BeaconChainTypes.dfy,src/dafny/beacon,53,0,2,177
Helpers.dfy,src/dafny/beacon,110,2,10,45
AttestationsHelpers.dfy,src/dafny/beacon/attestations,102,4,6,117
AttestationsTypes.dfy,src/dafny/beacon/attestations,27,0,0,63
ForkChoice.dfy,src/dafny/beacon/forkchoice,3,3,15,175
ForkChoiceHelpers.dfy,src/dafny/beacon/forkchoice,133,6,4,156
ForkChoiceProofs.p.dfy,src/dafny/beacon/forkchoice,104,6,0,108
ForkChoiceTypes.dfy,src/dafny/beacon/forkchoice,8,0,0,26
ForkChoicehelpers.p.dfy,src/dafny/beacon/forkchoice,49,2,1,53
Crypto.dfy,src/dafny/beacon/helpers,5,0,1,12
Math.dfy,src/dafny/beacon/helpers,88,6,1,32
MathHelper.dfy,src/dafny/beacon/helpers/helper_lemmas,652,20,0,20
EpochProcessing.dfy,src/dafny/beacon/statetransition,3,0,4,121
EpochProcessing.s.dfy,src/dafny/beacon/statetransition,117,12,1,209
ProcessOperations.dfy,src/dafny/beacon/statetransition,292,0,7,425
ProcessOperations.p.dfy,src/dafny/beacon/statetransition,28,0,0,12
ProcessOperations.s.dfy,src/dafny/beacon/statetransition,885,45,27,443
StateTransition.dfy,src/dafny/beacon/statetransition,3,0,12,184
StateTransition.s.dfy,src/dafny/beacon/statetransition,97,7,0,309
tempProcessOperations.dfy,src/dafny/beacon/statetransition,751,32,28,568
tempv2ProcessOperations.dfy,src/dafny/beacon/statetransition,265,0,7,404
Validators.dfy,src/dafny/beacon/validators,10,0,0,61
div.r.dfy,src/dafny/libraries/reals,21,3,0,9
mul.r.dfy,src/dafny/libraries/reals,9,1,0,9
Merkleise.dfy,src/dafny/merkle,502,9,18,158
BitListSeDes.dfy,src/dafny/ssz,260,7,3,72
BitVectorSeDes.dfy,src/dafny/ssz,132,4,2,45
BoolSeDes.dfy,src/dafny/ssz,20,0,2,12
BytesAndBits.dfy,src/dafny/ssz,88,7,6,53
Constants.dfy,src/dafny/ssz,90,0,0,37
IntSeDes.dfy,src/dafny/ssz,128,2,2,29
Serialise.dfy,src/dafny/ssz,512,3,5,45
DafTests.dfy,src/dafny/utils,60,0,4,34
Eth2Types.dfy,src/dafny/utils,223,1,3,83
Helpers.dfy,src/dafny/utils,218,11,3,73
MathHelpers.dfy,src/dafny/utils,193,10,4,41
NativeTypes.dfy,src/dafny/utils,26,0,0,22
NonNativeTypes.dfy,src/dafny/utils,6,0,0,15
SeqHelpers.dfy,src/dafny/utils,61,7,2,26
SetHelpers.dfy,src/dafny/utils,35,3,0,23
Merkleise.test.dfy,test/dafny/merkle,23,0,1,19
TestBitlistMerkleise.dfy,test/dafny/merkle/third_party_implementations,66,0,7,25
TestBitvectorMerkleise.dfy,test/dafny/merkle/third_party_implementations,59,0,7,27
TestBytesMerkleise.dfy,test/dafny/merkle/third_party_implementations,53,0,6,26
TestListOfBytes32Merkleise.dfy,test/dafny/merkle/third_party_implementations,96,2,8,45
TestListOfUint64Merkleise.dfy,test/dafny/merkle/third_party_implementations,76,0,7,24
TestVectorOfUint64Merkleise.dfy,test/dafny/merkle/third_party_implementations,69,0,7,22
ThirdPartyMerkleisation.dfy,test/dafny/merkle/third_party_implementations,19,0,6,9
BitListSeDes.tests.dfy,test/dafny/ssz,14,0,1,16
UintSeDes.tests.dfy,test/dafny/ssz,16,0,1,17
StringConversions.dfy,test/dafny/test_utils,159,1,19,82
MathHelpers.tests.dfy,test/dafny/utils,13,0,1,26
CommandLine.dfy,test/lowlevel_modules,18,0,3,15
Rand.dfy,test/lowlevel_modules,5,0,1,9
,TOTAL,7055,216,255,4868
