Folder,#Files,#LoC,Theorems,Implementations,Documentation,#Doc/#LoC (%),Proved
/src/dafny/beacon/helpers/helper_lemmas,8,1156,36,24,523,45,60
/src/dafny/beacon/helpers/helper_lemmas,3,750,26,2,36,5,28
/src/dafny/beacon/helpers/helper_lemmas,1,652,20,0,11,2,20
/src/dafny/libraries/reals,2,30,4,0,0,0,4
/src/dafny/merkle,1,383,9,18,149,39,27
/src/dafny/ssz,7,957,23,20,225,24,43
/src/dafny/utils,7,686,31,14,237,35,45
/test/dafny/merkle/third_party_implementations,8,461,2,49,125,27,50
/test/dafny/merkle/third_party_implementations,7,438,2,48,115,26,50
/test/dafny/ssz,2,30,0,2,15,50,2
/test/dafny/test_utils,1,159,1,19,73,46,20
/test/dafny/utils,1,13,0,1,17,131,1
/test/lowlevel_modules,2,22,0,4,6,27,4
